source,pair,quote,coverage_start,granularity,gaps,latency_update_rule,cost,licence_redistribution,api_stability,methodology,integration_effort,keyless_history,march2023_min_close_1h,march2023_close_1d,verdict
Bitstamp,USDC/USD,USD,2021-01-01 (probed; API silent before),1m..1d OHLC,none 2021-01..2026-09 (0 missing days),exchange candles; realtime,free public API,exchange ToS; not verified for redistribution,stable v2 API,exchange order book (real USD),low,yes,0.8627 @ 2023-03-11 07:00,0.9685,candidate primary (USD; reaches 2021 not 2018)
Kraken,USDC/USD,USD,OHLC endpoint: last 720 candles only (2024-09-14 for daily); trades endpoint: full history paginated,trades / 1m..1d OHLC (720 cap),none in OHLC window; 580 028 trades fetched for 2023-03,exchange; realtime,free public API (~1 req/s),exchange ToS; not verified for redistribution,stable v0 API,exchange order book (real USD),medium (history must be rebuilt from trades),yes but slow (trades),0.9010 @ 2023-03-11 12:00 (hourly close from trades; low 0.8740),0.9670,candidate fallback / cross-check (USD)
Binance,USDC/USDT,USDT,2018-12-15,1m..1d klines,165 missing days: delisted 2022-09-26 03:00 UTC to relist 2023-03-11 14:00 UTC (announcements fetched) — the gap covers the depeg onset and trough,exchange; realtime,free via data-api.binance.vision (already used in this repo),exchange ToS; not verified for redistribution,stable v3 API,exchange order book (USDT-quoted),low,yes,0.9128 @ 2023-03-11 15:00 (first hour after relist),0.9592 (partial day),cross-check only: USDT quote + gap across the event
OKX,USDC/USDT,USDT,2020-01-01,1m..1d (1Dutc),none; one idiosyncratic print 2020-03-12 close 0.9395 (610 bps from Binance),exchange; realtime,free public API (100 rows/call),exchange ToS; not verified for redistribution,stable v5 API,exchange order book (USDT-quoted),low,yes,0.8787 @ 2023-03-11 07:00,0.9607,cross-check only (USDT quote)
Bybit,USDC/USDT,USDT,2021-10-22,1m..1d,none,exchange; realtime,free public API,exchange ToS; not verified for redistribution,stable v5 API,exchange order book (USDT-quoted),low,yes,0.8840 @ 2023-03-11 07:00,0.9611,cross-check only (USDT quote; starts 2021-10)
Coinbase Exchange,USDC-USD,—,n/a,n/a,no USDC-USD product exists (products endpoint verified 2026-09-04); USDC treated as USD,n/a,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,not a source
Chainlink USDC/USD (Ethereum mainnet),proxy 0x8fFfFfd4AfB6115b954Bd326cbe7B4BA576818f6,USD,2021-02-17 (phase 1 round 1 updatedAt read on-chain),event-driven rounds: deviation 0.25% or heartbeat 23h (current params from feeds JSON; 2023 params not verified),none structurally (heartbeat guarantees ≤23h); round ids non-contiguous across 3 phases,on-chain; update on 0.25% deviation,free via key-less RPC for eth_call (publicnode); getLogs needs archive node,public on-chain data; no licence page verified,proxy address stable; phase bumps on aggregator change,documented aggregation model (docs.chain.link/architecture-overview),low-medium (~3.5k eth_calls for full history),yes,0.8800 @ 2023-03-11 07:51:23 UTC (round 36893488147419104215; 243 rounds that day),n/a (rounds; daily bar built locally),candidate primary anchor (USD; verifiable; reaches 2021-02)
Pyth USDC/USD,feed eaa020c6…c94a,USD,not verified (docs do not state history depth),per-timestamp benchmark (60 s window),not verified,realtime,Benchmarks requires API key since 2026-08-26 (401 observed); pricing not verified,not verified,auth model changed 2026-08-26,documented,medium (key + per-timestamp calls),no,not verified,not verified,not usable key-less; revisit only with a key
RedStone USDC,—,USD,rolling 30 days only ("Data older than 30 days is not available"),—,everything older than 30 days,realtime,free HTTP,not verified,api docs host had expired TLS cert,not verified,n/a,no,not verified,not verified,not usable for history
Chronicle USDC/USD,—,—,not verified (docs returned 429),—,—,—,—,—,—,—,—,no,not verified,not verified,not verified
API3 USDC/USD dAPI,—,USD,no on-chain history by design (docs: do not rely on getRoundData),—,whole history,deviation 0.25–5% options; 24h heartbeat,—,not verified,—,documented,high (index events yourself),no,not verified,not verified,not usable for history
Coin Metrics Community,usdc PriceUSD,USD,2018-09-28 (catalog min_time; fetched),1d (ReferenceRate sub-daily only last 7 points on community),none 2018-09..2026-09,daily close,free; 10 req / 6 s,CC BY-NC 4.0 — NON-COMMERCIAL,stable v4; site redirecting to talos.com,documented (docs.coinmetrics.io),low,yes,n/a (daily only),0.9706,cross-check only: licence forbids commercial use; daily mark understates intraday trough
